what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338747421616
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338747423554
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338747430046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338747431022
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338747433085
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338747444262
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338747446537
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338747578125
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1338747642648
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1338747643039
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338747643833
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338747646758
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338747647144
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338747650636
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1338747651230
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1338747652529
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1338747652534
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1338747652549
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1338750679295
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1338750679296
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1338750679297
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1338750679298
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1338750679298
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1338750679299
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1338750679300
