what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327770487461
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327770487805
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327770493303
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1327770497689
started,bundle,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui",1327770497759
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327770498091
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327770501222
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327770502329
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327770505957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327770507934
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327770512409
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327770512577
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327770514098
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327770518044
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327770527970
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327770528072
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327770539233
started,bundle,org.eclipse.pde,3.6.100.v201109091335,"org.eclipse.pde",1327770552386
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110502-1955,"org.eclipse.equinox.simpleconfigurator.manipulator",1327770552520
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110502-1955,"org.eclipse.equinox.frameworkadmin",1327770552538
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.300.v20110506,"org.eclipse.equinox.frameworkadmin.equinox",1327770566273
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327770588369
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327770599908
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327770600179
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1327770613429
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1327770613440
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1327770613578
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1327770613590
